,summoner_name,league_points,puuid
97,Tragoose,217,aM1RpmstaGOnrIb-SSwNGEqjYTkBxnlA1ah4dHDeb0s_E3jHG1nY5JbUQFPJ9ZPpUm4jGSevSff_aQ
98,FinaldF,216,ecrqtRTnFV6AvCySheFK6dsVqMHt7Fj-mGQk0f3a0gpi22ZKuMyead_cFZQm_-dUEiSp6EYu2o8E5A
99,Rhythming,213,-hmOHTDncnbErdvPgvR0rMGpcsSQfF25hRmw27ULi49O1-THVhwfsdYPAh9q9DNl8e5Z-WrsgcwExA
100,VX miss81032069,212,uuxR5s5k4_v75JAQmaTpCveOG1vh3cnopUzQFurfKgSK6Xjy-M394OQLIX-ADyzkBfWwU63XeHYf2w
101,Phantom TFT,209,8gnVBHpZBZgPWjlgLh5kja2k6D6rdAm4I_6D4O845O7bLPtKjoa7tJ0XTLUaXZSXJT_6anQExSCWrQ
102,H2211,208,Z7_MDq4zy7Ct6tZOnjBC0PG8oMEqoAVsdWIBQ9qnyvyoxJYUdqFVG6erdiijVoBfWekirH9pgpy0NA
103,OrAnGe JuIc3,206,YAADgesvWrBwRlljR0YjWPmhQS7DX_qB4037eFC4V1rX7I0i3bMVqG6sq27BzjtcF2uQBUbmEqKBpQ
104,Zeroqt,205,L3am0bPYcV8w8XcFBF7DhsfIeFSrKmdlb76cmd-KQbRYRHNUgBz2cwat2mjWR8cAOwvTMT8mn2qgIg
105,Olly D,204,wV3uH4toymOuQFkng6EF2qfbBYr-6xlgPeicuWB8KTPKN-ovDLLEmltRAfg-ip_xdUGga-RbKpr5Rw
106,wzc,203,TYer63ReG0DgEraZVCjLmuD67m_MkcC1-0qlDVjoWw5BBVqwc7CAiWzhOvFY8r4SkjEnyHi6CzH7AA
107,TTV PhantomTFT,201,tbQuu-sakI3W1a6LEr799SxCtM8VNxyy2-xfrofcbx3l_YzgZ1TcqYVv_ENi-HgKU9nZRmXZobZ9tQ
108,Jangsterang,201,0IF6zkPjsVsMHTfsJug4KO6ySRBXHEicgzE8w3yS_jnbQqD8Dg1wAKjfxjQ8XY7lCxwYZoy24yovsQ
109,MoistDadKisses,201,P3FB4Jk6y2gsScEKv_bMqfjsA9xYzRsTkCCYPJFAUi3BjoVHVCNlgXF2iuZGXnBsJKBNgG2HyoKo1w
110,Obitooooo,200,2SxAuDH3FrMrZWwT2vj5xCUDhtxHO8F_MRp3O_ypRfwSDqKSgPRcKTvJd-VJiZBGSr1Kd4gzD161Qg
111,Aekyo,200,fBMd7-Jdxe4tOWKZn6exp9ILFnq_a3g-2td7U9aqZf7geiAthhNIHsR4VCzYSADxgBd1k0_8zHtVCQ
112,gnimhtyhR,200,0GaYGL89Ag3yDSfbohE7fLOgIuyKRHgNFXwP3n1BLHK-Ssl6d8cn2BKqUpLD8up2go52rTadcIukaQ
113,WANG SHUO ZHE,197,d1t5MlAdzLiMmZHq6Lxcf80NwEhvxF6GJ80VyJI5fAopvwycWNZOuqx_h5mOa6fqsR1lEZK6a5-Xxg
114,micheIIe obama,196,YeJL5e3nfnlC5UdzXKMVbWRmnR1oHzKNvxnB6UOCvPHkRzHKrdKkPXr7g8SFz8r5dlSY99Tj-7v2qQ
115,4 a r p tft,195,ykPYur8pbZOLbXU7ECRQawsEf5Gw0rUfNN-pPNoVf1YCom4Q0tVKbaNjN2-ML4PPf6GfKOUOg9LMJw
116,abladeomg,191,YhIFz2NSXiFPPdrTno7gfx-648H6DTBfZtNmSsAGSFyAn39Qau6rBLplRKjBm88GjrytnYaKF4ufeQ
117,Andy Savage,191,tGhBaz9yGs8xzcZjstDaHVPK9iKI5tgkvo9hk1T-cn1a6tI0JmeKeg8G_cyGhNVoP5I6K16uSc9Qug
118,aante,189,JYMw_scGXVKXe47RMlgXCip4Ze4pxtu_-RO8IoO2cUVgMknn6r4X0aVjHA67bH7zEbrn9bAkPR9Hig
119,TFTEACHERºCOM,188,BI5Q_8r_LeMwWk5mNEOY5mZGz-ou6kR_nbm8_oAGGjtpD5VtaRDeF8KiXHiUBgzRy4oPkkxJTGzfaQ
120,LiquidHyped,186,rbxhjStDeXpCfd4v_UoWxEORi_a0pDqAfwNv2vc_lPlaTMEZ7uXeD10MvUEy1EhCARCFZ63mgsRIRg
121,Inphinit3,185,nQ24mrnSHdT1_GhlTf5LFyQyYX_IXJUieKjKstQFSvEQTIOZ9xAxLLtvpc44ZLpxYWhS3ADQAapFkA
122,Madelynn,182,oA9g_eGF9aNxizvNOeqt0EFJfsi35KwV3FhIJJOoH7cRGPFQ5nSj0LFDj354bBMa9lk3W_rYFuvGhg
123,Classiq,180,xJkQNg2MOrq972Hpa4NwgCDOpVx_EsQ60HplIC8iUekThqn-8uxaLqXjXeBwAMwsbKp90hINxBH4JQ
124,ayustat,180,h1ga-dkrXuBC2ga5ug2LhQ77vHQOcUSbvL-Eaee446l25-qT6uaJJIWdlTjxpy96ICjkqSjBIUAltA
125,DoYouWantSomeTea,180,YADEhOpkZA5Og-YKUB6dIsx5lgvL_bPQxYbJnIFSNtb6IWJBGYKtWOLozBlStLZywR3YWSb8tmmg7Q
126,ched Q2222888333,180,QBAPz3sdGjazzvvAlNG9MWKW1c8qAL493ShW28c3orIZ67SOrS7MPOZCa1-9GxR65tdEXTqnIgs_UQ
127,Nhân Tâm,180,H3mtRE_P0G9-UzEJ2ZZbvVhjxpNfGlr9v6TeMonfRg0lcmXFFzq1G9bUIeOq6KMFu3eNZfi0hxpffw
128,Alleji,179,PXs4oCNwe1bufoupP6Rz8WjYCyFhmUdTo8z4rT8VO13eTKESckOogeDC3PgJvOUvB-v4c_Q87dTI3w
129,nhocBym,178,ZL0mS1gZ9hpoawdSCvGENOkhHcXS5zimdKM5ZRPNngMfVRNI5uB-4G-Z18TE-DAD4kwB22-o0rTtVQ
130,enchabi,178,51eQJHOwcyc0K7ZU1CnnNyYMJ-UMzttDYjz6DlPAOem14TJ08Wim4UGjGNLeCOTsNLbHnEbn0BBkfg
131,Twinbambi,178,kJOPCu0jnEQ_0Eb6NQnfxabfWukVaQi0vYu0VzKsxPDUUAqdHkXMPE84OP0GRX_15J1qvTLtHuo6_Q
132,4arp,177,6tq-95PFXzryWN5k4Nq8ojoFCiV3xCg0QJlxKyMub9M2PVHP4EFhbMs5D5ZnScZ_dFUzeo35-LaCrA
133,TempestLife,176,jMnNq6k0B_LqWkaleE-LCr6SFn1WVJIYFa3mZ33-gDw0k-qabwUmZ0ezfdxBg5zCKmn8iWtH92-vQw
134,Dr Roti,175,RWWlOLSHfuJg2uophL5QXM2ERLbuw0fFnNf4FJUYcxdiRXzwa5rNogf0liaVIM4SAMPRY6IEfz6k9w
